fchknam,ex_energy,fosc,sr_index,d_index,delta_sigma,h_index,t_index,hdi,edi,vip,vea,mulliken negativity,hardness,elec_index
ald_0_td.fchk,3.9592,1.2585,0.74441,0.295,-0.377,5.625,-3.672,5.02,4.21,0.2611,0.024122,0.142611,0.236978,0.042911
ald_10_td.fchk,3.6981,0.5252,0.70129,0.774,0.457,6.681,-4.603,6.54,5.24,0.246092,0.01431,0.130201,0.231781,0.03657
ald_11_td.fchk,3.7371,0.0735,0.70453,0.294,0.71,9.661,-8.474,5.13,4.16,0.250831,0.016658,0.133744,0.234173,0.038193
ald_12_td.fchk,3.7539,0.1391,0.71046,0.242,0.63,9.472,-8.295,5.17,4.25,0.253333,0.017141,0.135237,0.236193,0.038716
ald_13_td.fchk,3.2619,1.3521,0.73371,0.968,-1.397,4.697,-0.929,5.04,6.76,0.248186,0.048283,0.148235,0.199903,0.05496
ald_14_td.fchk,3.9357,0.8936,0.78332,0.217,-0.547,5.854,-3.354,4.57,4.58,0.269125,0.026591,0.147858,0.242534,0.04507
ald_15_td.fchk,3.3453,0.0003,0.44107,0.299,2.541,3.837,-2.642,9.11,4.48,0.225049,0.023157,0.124103,0.201892,0.038143
ald_16_td.fchk,3.022,0.0005,0.61609,0.243,1.131,3.505,-0.65,6.46,4.9,0.230196,0.02836,0.129278,0.201836,0.041402
ald_17_td.fchk,2.7287,1.5955,0.84865,0.017,-0.158,4.058,-2.998,5.57,5.53,0.253619,0.074851,0.164235,0.178768,0.075442
ald_18_td.fchk,4.0334,1.4396,0.71729,0.274,-1.019,11.283,-7.328,4.67,4.02,0.274498,0.017896,0.146197,0.256602,0.041647
ald_19_td.fchk,3.9565,1.1917,0.76939,0.154,-0.654,6.226,-2.1,4.81,4.61,0.273572,0.02515,0.149361,0.248422,0.044901
ald_1_td.fchk,4.0636,0.2345,0.65634,0.931,-0.766,4.26,-1.699,8.78,6.77,0.296597,0.021103,0.15885,0.275494,0.045796
ald_20_td.fchk,3.5666,0.8263,0.76596,1.16,-0.494,3.307,-0.256,6.53,8.2,0.284416,0.051989,0.168203,0.232427,0.060863
ald_21_td.fchk,2.7221,0.5802,0.78046,1.14,-0.594,3.468,-0.894,6.07,7.36,0.247942,0.063275,0.155608,0.184667,0.065561
ald_22_td.fchk,2.0345,0.7066,0.72639,0.012,-1.077,3.938,-2.96,5.63,7.1,0.243424,0.09084,0.167132,0.152584,0.091533
ald_23_td.fchk,2.8084,2.0322,0.78987,0.731,-1.099,4.903,-1.268,5.13,5.92,0.243907,0.058895,0.151401,0.185012,0.061948
ald_24_td.fchk,3.1223,1.6901,0.78096,0.278,-1.241,5.212,-0.942,4.67,5.13,0.247977,0.056936,0.152456,0.191042,0.060832
ald_25_td.fchk,3.472,2.4887,0.74689,0.197,-1.71,6.342,-5.643,4.22,5.82,0.25175,0.063735,0.157742,0.188015,0.066172
ald_2_td.fchk,3.6986,0.0341,0.71636,0.016,0.629,6.395,-4.968,5.17,4,0.245555,0.017763,0.131659,0.227792,0.038048
ald_3_td.fchk,3.0892,0.478,0.72607,0.01,-0.824,3.622,-2.338,5.52,6.43,0.250666,0.047781,0.149223,0.202886,0.054877
ald_4_td.fchk,4.0524,0.0523,0.67926,0.158,-1.146,9.69,-6.445,5.74,4.62,0.282185,0.020432,0.151308,0.261753,0.043732
ald_5_td.fchk,4.0549,0.1381,0.68334,0.473,-1.182,9.717,-6.624,6.5,5.04,0.289258,0.018906,0.154082,0.270352,0.043908
ald_6_td.fchk,3.5077,0.5532,0.88423,0.035,-0.011,3.199,-2.276,6.52,6.37,0.256639,0.029359,0.142999,0.22728,0.044986
ald_7_td.fchk,3.7219,0.2847,0.70361,0.181,0.764,8.084,-2.074,4.96,4.05,0.248393,0.016324,0.132358,0.232069,0.037745
ald_8_td.fchk,3.718,0.3934,0.70388,0.687,0.485,7.469,-5.627,6.27,4.97,0.249027,0.015658,0.132343,0.233369,0.037526
ald_9_td.fchk,3.7158,0.406,0.70482,0.662,0.496,7.465,-5.619,6.15,4.98,0.249183,0.015229,0.132206,0.233954,0.037354
amine_0_td.fchk,4.097,0.4214,0.68459,0.301,1.217,4.798,-3.439,7.05,5.17,0.275977,0.007004,0.141491,0.268973,0.037215
amine_10_td.fchk,2.7335,1.616,0.84617,0.023,-0.265,4.046,-2.866,5.51,5.6,0.24333,0.064331,0.153831,0.179,0.0661
amine_11_td.fchk,3.6203,0.6705,0.79964,0.039,0.85,5.025,-3.985,4.42,4.15,0.246122,0.016077,0.1311,0.230045,0.037356
amine_12_td.fchk,3.9342,1.0065,0.73367,0.006,1.175,6.858,-4.51,4.76,3.99,0.259155,0.008805,0.13398,0.25035,0.035851
amine_13_td.fchk,3.8592,1.1618,0.76468,0.005,0.865,6.309,-5.044,4.39,3.83,0.260339,0.017047,0.138693,0.243292,0.039532
amine_14_td.fchk,4.0144,0.1442,0.6822,0.137,1.37,8.439,-5.667,5.42,4.42,0.274858,0.008999,0.141928,0.265859,0.037884
amine_15_td.fchk,3.6052,0.4044,0.69596,1.354,1.363,5.555,-2.168,6.12,4.99,0.22451,0.007878,0.116194,0.216631,0.031161
amine_16_td.fchk,3.6815,1.2029,0.82722,0.029,0.433,5.576,-4.405,4.33,4.57,0.24639,0.018154,0.132272,0.228235,0.038329
amine_17_td.fchk,3.5452,1.0552,0.87432,0.001,0.244,5.113,-2.376,4.51,4.81,0.242083,0.027021,0.134552,0.215062,0.042091
amine_18_td.fchk,2.7287,1.5231,0.8491,0.056,-0.256,4.021,-2.356,5.56,5.62,0.243001,0.064106,0.153553,0.178895,0.065901
amine_19_td.fchk,3.4961,0.5905,0.8892,0.025,0.104,3.185,-2.289,6.45,6.35,0.247102,0.020592,0.133847,0.226511,0.039546
