fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_0_freq_cut_amine_10_freq_cut,84.95%,15.05%,84.53%,15.47%
ald_0_freq_cut_amine_17_freq_cut,87.85%,12.15%,83.7%,16.3%
ald_0_freq_cut_amine_18_freq_cut,85.12%,14.88%,84.52%,15.48%
ald_0_freq_cut_amine_19_freq_cut,99.52%,0.48%,99.23%,0.77%
ald_0_freq_cut_amine_1_freq_cut,47.72%,52.28%,26.38%,73.62%
ald_0_freq_cut_amine_2_freq_cut,87.36%,12.64%,82.38%,17.62%
ald_0_freq_cut_amine_4_freq_cut,83.22%,16.78%,56.91%,43.09%
ald_0_freq_cut_amine_5_freq_cut,91.44%,8.56%,82.25%,17.75%
ald_0_freq_cut_amine_6_freq_cut,69.0%,31.0%,44.49%,55.51%
ald_0_freq_cut_amine_8_freq_cut,96.9%,3.1%,95.7%,4.3%
ald_0_freq_cut_amine_9_freq_cut,67.37%,32.63%,41.0%,59.0%
ald_10_freq_cut_amine_0_freq_cut,10.23%,89.77%,9.29%,90.71%
ald_10_freq_cut_amine_10_freq_cut,84.37%,15.63%,84.6%,15.4%
ald_10_freq_cut_amine_11_freq_cut,78.4%,21.6%,73.05%,26.95%
ald_10_freq_cut_amine_12_freq_cut,29.73%,70.27%,24.16%,75.84%
ald_10_freq_cut_amine_13_freq_cut,41.4%,58.6%,34.66%,65.34%
ald_10_freq_cut_amine_14_freq_cut,23.82%,76.18%,18.97%,81.03%
ald_10_freq_cut_amine_15_freq_cut,64.05%,35.95%,48.21%,51.79%
ald_10_freq_cut_amine_16_freq_cut,66.91%,33.09%,61.98%,38.02%
ald_10_freq_cut_amine_17_freq_cut,75.24%,24.76%,71.91%,28.09%
ald_10_freq_cut_amine_18_freq_cut,84.47%,15.53%,84.56%,15.44%
ald_10_freq_cut_amine_19_freq_cut,93.09%,6.91%,92.81%,7.19%
ald_10_freq_cut_amine_1_freq_cut,11.95%,88.05%,11.97%,88.03%
ald_10_freq_cut_amine_2_freq_cut,86.16%,13.84%,83.47%,16.53%
ald_10_freq_cut_amine_3_freq_cut,95.21%,4.79%,93.37%,6.63%
ald_10_freq_cut_amine_4_freq_cut,61.08%,38.92%,47.49%,52.51%
ald_10_freq_cut_amine_5_freq_cut,91.45%,8.55%,82.35%,17.65%
ald_10_freq_cut_amine_6_freq_cut,23.61%,76.39%,19.49%,80.51%
ald_10_freq_cut_amine_7_freq_cut,86.06%,13.94%,84.49%,15.51%
ald_10_freq_cut_amine_8_freq_cut,92.79%,7.21%,91.43%,8.57%
ald_10_freq_cut_amine_9_freq_cut,24.04%,75.96%,21.32%,78.68%
ald_11_freq_cut_amine_0_freq_cut,17.69%,82.31%,16.33%,83.67%
ald_11_freq_cut_amine_10_freq_cut,84.2%,15.8%,84.35%,15.65%
ald_11_freq_cut_amine_11_freq_cut,81.88%,18.12%,76.72%,23.28%
ald_11_freq_cut_amine_12_freq_cut,33.83%,66.17%,28.04%,71.96%
ald_11_freq_cut_amine_13_freq_cut,45.08%,54.92%,37.17%,62.83%
ald_11_freq_cut_amine_14_freq_cut,27.55%,72.45%,22.93%,77.07%
ald_11_freq_cut_amine_15_freq_cut,67.5%,32.5%,50.07%,49.93%
ald_11_freq_cut_amine_16_freq_cut,75.14%,24.86%,69.86%,30.14%
ald_11_freq_cut_amine_17_freq_cut,78.81%,21.19%,75.48%,24.52%
ald_11_freq_cut_amine_18_freq_cut,84.15%,15.85%,84.36%,15.64%
ald_11_freq_cut_amine_19_freq_cut,95.01%,4.99%,94.66%,5.34%
ald_11_freq_cut_amine_1_freq_cut,11.68%,88.32%,10.87%,89.13%
ald_11_freq_cut_amine_2_freq_cut,85.54%,14.46%,82.07%,17.93%
ald_11_freq_cut_amine_3_freq_cut,94.79%,5.21%,93.27%,6.73%
ald_11_freq_cut_amine_4_freq_cut,66.72%,33.28%,48.79%,51.21%
ald_11_freq_cut_amine_5_freq_cut,91.27%,8.73%,82.38%,17.62%
ald_11_freq_cut_amine_6_freq_cut,28.76%,71.24%,22.44%,77.56%
ald_11_freq_cut_amine_7_freq_cut,86.08%,13.92%,84.52%,15.48%
ald_11_freq_cut_amine_8_freq_cut,93.69%,6.31%,92.29%,7.71%
ald_11_freq_cut_amine_9_freq_cut,27.89%,72.11%,23.32%,76.68%
ald_12_freq_cut_amine_0_freq_cut,18.6%,81.4%,16.59%,83.41%
ald_12_freq_cut_amine_10_freq_cut,84.12%,15.88%,84.43%,15.57%
ald_12_freq_cut_amine_11_freq_cut,82.46%,17.54%,76.41%,23.59%
ald_12_freq_cut_amine_12_freq_cut,35.1%,64.9%,28.39%,71.61%
ald_12_freq_cut_amine_13_freq_cut,47.72%,52.28%,38.4%,61.6%
ald_12_freq_cut_amine_14_freq_cut,29.18%,70.82%,23.73%,76.27%
ald_12_freq_cut_amine_15_freq_cut,68.61%,31.39%,50.13%,49.87%
ald_12_freq_cut_amine_16_freq_cut,76.54%,23.46%,71.49%,28.51%
ald_12_freq_cut_amine_17_freq_cut,79.66%,20.34%,76.47%,23.53%
ald_12_freq_cut_amine_18_freq_cut,84.44%,15.56%,84.59%,15.41%
ald_12_freq_cut_amine_19_freq_cut,96.09%,3.91%,95.38%,4.62%
ald_12_freq_cut_amine_1_freq_cut,13.6%,86.4%,12.24%,87.76%
ald_12_freq_cut_amine_2_freq_cut,85.6%,14.4%,81.82%,18.18%
ald_12_freq_cut_amine_3_freq_cut,94.76%,5.24%,93.26%,6.74%
ald_12_freq_cut_amine_4_freq_cut,68.15%,31.85%,49.83%,50.17%
ald_12_freq_cut_amine_5_freq_cut,91.55%,8.45%,82.42%,17.58%
ald_12_freq_cut_amine_6_freq_cut,30.5%,69.5%,23.56%,76.44%
ald_12_freq_cut_amine_7_freq_cut,86.12%,13.88%,84.72%,15.28%
ald_12_freq_cut_amine_8_freq_cut,93.98%,6.02%,92.51%,7.49%
ald_12_freq_cut_amine_9_freq_cut,29.26%,70.74%,24.7%,75.3%
ald_13_freq_cut_amine_0_freq_cut,0.7%,99.3%,0.26%,99.74%
ald_13_freq_cut_amine_10_freq_cut,84.31%,15.69%,84.29%,15.71%
ald_13_freq_cut_amine_11_freq_cut,1.62%,98.38%,1.05%,98.95%
ald_13_freq_cut_amine_12_freq_cut,0.76%,99.24%,0.56%,99.44%
ald_13_freq_cut_amine_13_freq_cut,0.76%,99.24%,0.47%,99.53%
ald_13_freq_cut_amine_14_freq_cut,0.61%,99.39%,0.35%,99.65%
ald_13_freq_cut_amine_15_freq_cut,2.74%,97.26%,1.4%,98.6%
ald_13_freq_cut_amine_16_freq_cut,0.96%,99.04%,0.73%,99.27%
ald_13_freq_cut_amine_17_freq_cut,0.66%,99.34%,0.47%,99.53%
ald_13_freq_cut_amine_18_freq_cut,84.48%,15.52%,84.68%,15.32%
ald_13_freq_cut_amine_19_freq_cut,0.99%,99.01%,0.68%,99.32%
ald_13_freq_cut_amine_1_freq_cut,0.52%,99.48%,0.11%,99.89%
ald_13_freq_cut_amine_2_freq_cut,85.32%,14.68%,82.14%,17.86%
ald_13_freq_cut_amine_3_freq_cut,94.62%,5.38%,92.38%,7.62%
ald_13_freq_cut_amine_4_freq_cut,2.44%,97.56%,1.25%,98.75%
ald_13_freq_cut_amine_5_freq_cut,91.16%,8.84%,81.83%,18.17%
ald_13_freq_cut_amine_6_freq_cut,0.64%,99.36%,0.33%,99.67%
ald_13_freq_cut_amine_7_freq_cut,86.44%,13.56%,84.81%,15.19%
ald_13_freq_cut_amine_8_freq_cut,1.4%,98.6%,1.15%,98.85%
ald_13_freq_cut_amine_9_freq_cut,0.79%,99.21%,0.38%,99.62%
ald_14_freq_cut_amine_10_freq_cut,84.59%,15.41%,84.42%,15.58%
ald_14_freq_cut_amine_14_freq_cut,0.78%,99.22%,0.71%,99.29%
ald_14_freq_cut_amine_15_freq_cut,90.85%,9.15%,70.4%,29.6%
ald_14_freq_cut_amine_16_freq_cut,89.36%,10.64%,84.63%,15.37%
ald_14_freq_cut_amine_17_freq_cut,88.69%,11.31%,84.9%,15.1%
ald_14_freq_cut_amine_18_freq_cut,84.86%,15.14%,84.4%,15.6%
ald_14_freq_cut_amine_19_freq_cut,99.9%,0.1%,99.74%,0.26%
ald_14_freq_cut_amine_2_freq_cut,87.4%,12.6%,83.25%,16.75%
ald_14_freq_cut_amine_4_freq_cut,87.04%,12.96%,65.04%,34.96%
ald_14_freq_cut_amine_5_freq_cut,91.51%,8.49%,82.37%,17.63%
ald_14_freq_cut_amine_8_freq_cut,97.6%,2.4%,96.38%,3.62%
ald_14_freq_cut_amine_9_freq_cut,0.18%,99.82%,0.31%,99.69%
ald_15_freq_cut_amine_0_freq_cut,0.03%,99.97%,1.5%,98.5%
ald_15_freq_cut_amine_10_freq_cut,84.87%,15.13%,84.63%,15.37%
ald_15_freq_cut_amine_11_freq_cut,16.58%,83.42%,23.75%,76.25%
ald_15_freq_cut_amine_12_freq_cut,0.1%,99.9%,4.5%,95.5%
ald_15_freq_cut_amine_13_freq_cut,0.02%,99.98%,9.72%,90.28%
ald_15_freq_cut_amine_14_freq_cut,0.02%,99.98%,7.91%,92.09%
ald_15_freq_cut_amine_15_freq_cut,-0.23%,100.23%,0.93%,99.07%
ald_15_freq_cut_amine_16_freq_cut,0.02%,99.98%,8.68%,91.32%
ald_15_freq_cut_amine_17_freq_cut,0.04%,99.96%,9.84%,90.16%
ald_15_freq_cut_amine_18_freq_cut,84.93%,15.07%,84.5%,15.5%
ald_15_freq_cut_amine_19_freq_cut,0.07%,99.93%,9.95%,90.05%
ald_15_freq_cut_amine_1_freq_cut,-0.03%,100.03%,6.69%,93.31%
ald_15_freq_cut_amine_2_freq_cut,87.59%,12.41%,81.54%,18.46%
ald_15_freq_cut_amine_3_freq_cut,96.46%,3.54%,94.27%,5.73%
ald_15_freq_cut_amine_4_freq_cut,0.0%,100.0%,0.87%,99.13%
ald_15_freq_cut_amine_5_freq_cut,91.38%,8.62%,82.31%,17.69%
